POLYGON_ID,POLYGON_NAME,POLYGON_LEVEL,POLYGON_VERSION,COUNTRY,DATE_TIME,N_BASELINE,N_CRISIS,N_DIFFERENCE,DENSITY_BASELINE,DENSITY_CRISIS,PERCENT_CHANGE,CLIPPED_Z_SCORE,LAT,LON,DS
PAK.2.1_1,Kalat,GADM2,3.6,PK,2022-08-15 00:00:00.000,10898.26988751588000,10790.0,-108.2698875158803300,0.0027067212796601974,0.002691069017814677000,-0.9933682589133205000,-0.10657968345600036000,27.493773199641932,65.73513763364258,2022-08-15
PAK.2.6_1,Zhob,GADM2,3.6,PK,2022-08-15 00:00:00.000,9362.46153846153900,8702.0,-660.4615384615390000,0.0023252841173609700,0.002170313493329316300,-7.0536044362292110000,-1.77697944857434840000,30.879947250445810,68.96663058059505,2022-08-15
PAK.8.4_1,Mirpur Khas,GADM2,3.6,PK,2022-08-15 00:00:00.000,40763.45821879837600,39646.0,-1117.4582187983760000,0.0101241133622274830,0.009887870461564476000,-2.7412561521130790000,-0.63134645197872140000,25.222414194595153,69.82002142729421,2022-08-15
PAK.7.4_1,Gujranwala,GADM2,3.6,PK,2022-08-15 00:00:00.000,364044.61538461540000,359121.0,-4923.6153846153760000,0.0904150215931064900,0.089566209151679770000,-1.3524721014462873000,-0.41299531115110530000,32.333162895855320,74.07475121428519,2022-08-15
PAK.5.3_1,F.A.T.A.,GADM2,3.6,PK,2022-08-15 00:00:00.000,2195.21818095724350,2046.0,-149.2181809572434800,0.0005452098200192662,0.000510280557038816400,-6.7943240908881490000,-1.73394377500130050000,32.932342294260580,70.79861448797378,2022-08-15
PAK.5.1_1,Bannu,GADM2,3.6,PK,2022-08-15 00:00:00.000,18082.36919664642500,16652.0,-1430.3691966464248000,0.0044909819628619130,0.004153075188568119400,-7.9098600547938150000,-1.48314538304068840000,32.682470214647080,70.79360871430961,2022-08-15
PAK.2.3_1,Nasirabad,GADM2,3.6,PK,2022-08-15 00:00:00.000,6423.61538461538500,5737.0,-686.6153846153848000,0.0015953850137082827,0.001430830672400630500,-10.6872605363984690000,-1.19779151776130600000,28.782993915301570,67.82819872158310,2022-08-15
PAK.5.2_1,Dera Ismail Khan,GADM2,3.6,PK,2022-08-15 00:00:00.000,19979.04799200212800,18821.0,-1158.0479920021280000,0.0049620458022654840,0.004694032435986102000,-5.7960220739494040000,-0.70414798082735500000,31.937340491088090,70.62908633221942,2022-08-15
PAK.5.7_1,Mardan,GADM2,3.6,PK,2022-08-15 00:00:00.000,55183.69230769230500,53267.0,-1916.6923076923050000,0.0137055583868916070,0.013285002166073626000,-3.4732318466241288000,-0.93948690873703560000,34.305424712427560,72.36232932451856,2022-08-15
PAK.8.6_1,Sukkur,GADM2,3.6,PK,2022-08-15 00:00:00.000,78145.57633733260000,74791.0,-3354.5763373326045000,0.0194084287292119360,0.018653173578440922000,-4.2926721739568240000,-0.75469890913859830000,27.039829802350530,69.02108870949430,2022-08-15
PAK.8.3_1,Larkana,GADM2,3.6,PK,2022-08-15 00:00:00.000,48461.76649733638000,45044.0,-3417.7664973363790000,0.0120360842576053210,0.011234153182432283000,-7.0523553324679210000,-1.17668821063651420000,27.895334562554417,68.34847452964398,2022-08-15
PAK.7.5_1,Lahore,GADM2,3.6,PK,2022-08-15 00:00:00.000,767143.57313916820000,781263.0,14119.4268608317940000,0.1905296763065981000,0.194850106956899750000,1.8405170752958426000,0.38388807440826417000,31.212249025737595,73.94344561103003,2022-08-15
PAK.2.2_1,Makran,GADM2,3.6,PK,2022-08-15 00:00:00.000,6514.26938297461400,7179.0,664.7306170253860000,0.0016179000650859592,0.001790471221398662500,10.2026574490139710000,0.33142463938181150000,26.114871247960583,63.45987406471992,2022-08-15
PAK.4.1_1,Islamabad,GADM2,3.6,PK,2022-08-15 00:00:00.000,239195.11075646790000,250200.0,11004.8892435320890000,0.0594070896534554300,0.062400877502987236000,4.6007810113336110000,0.53668376501255770000,33.669224708654600,73.06666567556829,2022-08-15
PAK.7.8_1,Sargodha,GADM2,3.6,PK,2022-08-15 00:00:00.000,95219.74901498065000,93320.0,-1899.7490149806545000,0.0236490125095900200,0.023274380050274854000,-1.9950998439234870000,-0.60603600538041540000,32.100386779778120,71.88915810191632,2022-08-15
PAK.2.5_1,Sibi,GADM2,3.6,PK,2022-08-15 00:00:00.000,5974.38461538461500,5460.0,-514.3846153846152000,0.0014838129481322664,0.001361745768050800600,-8.6083934088568470000,-2.47397269662710960000,29.488334147075516,68.57004866839137,2022-08-15
PAK.7.3_1,Faisalabad,GADM2,3.6,PK,2022-08-15 00:00:00.000,265504.23827518977000,265291.0,-213.2382751897676000,0.0659412896722852000,0.066164633068125450000,-0.0803141499486165600,-0.02736095990377285000,31.209905085174274,72.62371843417888,2022-08-15
PAK.7.6_1,Multan,GADM2,3.6,PK,2022-08-15 00:00:00.000,227245.49112426036000,226226.0,-1019.4911242603557000,0.0564392525493851500,0.056421666322904840000,-0.4486278838527320000,-0.12246841040663699000,30.125238653918725,72.23541496058307,2022-08-15
PAK.7.2_1,Dera Ghazi Khan,GADM2,3.6,PK,2022-08-15 00:00:00.000,83029.41400610717000,80805.0,-2224.4140061071666000,0.0206213907388627450,0.020153089155191383000,-2.6790351857616335000,-0.48466969833263600000,30.022478285382874,70.54930191944253,2022-08-15
PAK.5.8_1,Peshawar,GADM2,3.6,PK,2022-08-15 00:00:00.000,151660.81408770193000,151380.0,-280.8140877019323000,0.0376668551080763200,0.037754775525188680000,-0.1851580698748236700,-0.02697069014455538400,34.013555182303660,71.79201037504812,2022-08-15
PAK.5.4_1,Hazara,GADM2,3.6,PK,2022-08-15 00:00:00.000,65048.89735490170000,62921.0,-2127.8973549017030000,0.0161557051262452320,0.015692748254857954000,-3.2711771139195490000,-0.98541914866285440000,34.841214265020795,73.22436616623538,2022-08-15
PAK.7.7_1,Rawalpindi,GADM2,3.6,PK,2022-08-15 00:00:00.000,260575.14386527782000,259831.0,-744.1438652778161000,0.0647170875864067900,0.064802887300074650000,-0.2855763594623423300,-0.10224812895891974000,33.195204916020860,72.72306554874687,2022-08-15
PAK.7.1_1,Bahawalpur,GADM2,3.6,PK,2022-08-15 00:00:00.000,130578.62013419133000,129082.0,-1496.6201341913256000,0.0324308292448099100,0.032193565427020780000,-1.1461360759460860000,-0.20905518875136460000,28.848917939976854,71.63772667830045,2022-08-15
PAK.3.1_1,F.A.T.A.,GADM2,3.6,PK,2022-08-15 00:00:00.000,29016.88431917715200,29462.0,445.1156808228479300,0.0072067051987879720,0.007347940259764228000,1.5339356788623033000,0.27545341130868900000,33.170013305044215,70.38616127056210,2022-08-15
PAK.8.5_1,Rann of Kutch,GADM2,3.6,PK,2022-08-15 00:00:00.000,206.30769230769232,185.0,-21.3076923076923200,0.0000512390890196704,0.000046139737562160830,-10.2782931354360000000,-0.62137202247256950000,27.437046652649570,68.88075685015470,2022-08-15
PAK.5.6_1,Malakand,GADM2,3.6,PK,2022-08-15 00:00:00.000,78979.98499721018000,78804.0,-175.9849972101801500,0.0196156645289245620,0.019654031777559578000,-0.2228194510569809000,-0.07443672912175968000,35.692411371900940,72.24693033592979,2022-08-15
PAK.5.5_1,Kohat,GADM2,3.6,PK,2022-08-15 00:00:00.000,22855.68900431866500,21800.0,-1055.6890043186650000,0.0056764954830262530,0.005437006912730303000,-4.6187311037009660000,-0.86109898268686310000,33.324038652215350,71.24562877885840,2022-08-15
PAK.2.4_1,Quetta,GADM2,3.6,PK,2022-08-15 00:00:00.000,64258.05620071183500,67852.0,3593.9437992881650000,0.0159592898600635050,0.016922559313879655000,5.5928985138881520000,0.64060288562573190000,29.377445454266713,64.30346882797684,2022-08-15
PAK.8.1_1,Hyderabad,GADM2,3.6,PK,2022-08-15 00:00:00.000,122123.91133884649000,118450.0,-3673.9113388464903000,0.0303309968451824500,0.029541902239124052000,-3.0083226252282750000,-0.69978818781719990000,25.323100383720320,68.05136342208650,2022-08-15
PAK.8.2_1,Karachi,GADM2,3.6,PK,2022-08-15 00:00:00.000,757702.52071005920000,745431.0,-12271.5207100592090000,0.1881848731611438000,0.185913463301076250000,-1.6195675979648767000,-0.39646055962281496000,25.078783448780808,67.18591128987336,2022-08-15
PAK.7.7_1,Rawalpindi,GADM2,3.6,PK,2022-08-18 00:00:00.000,258402.09278972654000,247915.0,-10487.0927897265360000,0.0642386632869744700,0.065256382314510950000,-4.0584238665673890000,-1.21154190915117190000,33.195204916020860,72.72306554874687,2022-08-18
